,Store,Dept,Date,Weekly_Sales,IsHoliday_x,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday_y
0,1,1,2010-02-05,24924.5,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
1,1,2,2010-02-05,50605.27,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
2,1,3,2010-02-05,13740.12,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
3,1,4,2010-02-05,39954.04,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
4,1,5,2010-02-05,32229.38,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
5,1,6,2010-02-05,5749.03,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
6,1,7,2010-02-05,21084.08,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
7,1,8,2010-02-05,40129.01,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
8,1,9,2010-02-05,16930.99,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
9,1,10,2010-02-05,30721.5,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
10,1,11,2010-02-05,24213.18,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
11,1,12,2010-02-05,8449.54,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
12,1,13,2010-02-05,41969.29,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
13,1,14,2010-02-05,19466.91,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
14,1,16,2010-02-05,10217.55,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
15,1,17,2010-02-05,13223.76,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
16,1,18,2010-02-05,4729.5,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
17,1,19,2010-02-05,1947.05,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
18,1,20,2010-02-05,5034.1,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
19,1,21,2010-02-05,8907.63,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
20,1,22,2010-02-05,13623.98,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
21,1,23,2010-02-05,24146.49,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
22,1,24,2010-02-05,8272.9,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
23,1,25,2010-02-05,11609.5,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
24,1,26,2010-02-05,11737.12,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
25,1,27,2010-02-05,2293.0,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
26,1,28,2010-02-05,1085.29,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
27,1,29,2010-02-05,7024.95,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
28,1,30,2010-02-05,5491.0,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
29,1,31,2010-02-05,3455.92,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
30,1,32,2010-02-05,11875.84,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
31,1,33,2010-02-05,8589.77,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
32,1,34,2010-02-05,14350.83,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
33,1,35,2010-02-05,2770.0,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
34,1,36,2010-02-05,120.0,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
35,1,37,2010-02-05,3438.16,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
36,1,38,2010-02-05,115564.35,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
37,1,40,2010-02-05,66780.63,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
38,1,41,2010-02-05,1011.83,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
39,1,42,2010-02-05,8366.71,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
40,1,44,2010-02-05,4674.75,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
41,1,45,2010-02-05,37.44,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
42,1,46,2010-02-05,20837.77,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
43,1,47,2010-02-05,70.0,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
44,1,48,2010-02-05,814.0,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
45,1,49,2010-02-05,11501.46,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
46,1,51,2010-02-05,1.16,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
47,1,52,2010-02-05,3508.04,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
48,1,54,2010-02-05,439.0,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
49,1,55,2010-02-05,21249.31,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
50,1,56,2010-02-05,2567.36,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
51,1,58,2010-02-05,7659.97,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
52,1,59,2010-02-05,1409.34,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
53,1,60,2010-02-05,1416.8,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
54,1,67,2010-02-05,8414.14,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
55,1,71,2010-02-05,5421.14,False,A,151315,42.31,2.572,,,,,,211.0963582,8.106,False
